URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=428,5.54 EBSTREE (eS) (428),,4 argillic brown sands,Arenic Chromic Luvisols,Chromic Luvisols (Arenic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=439,5.54 EUSTON (Eu) (439),,4 argillic brown sands,Arenic Chromic Luvisols,Chromic Luvisols (Arenic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=532,5.54 FERNHILL (fN) (532),,4 argillic brown sands,Arenic Chromic Luvisols,Chromic Luvisols (Arenic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=627,5.81 GIVENDALE (gV) (627),,1 typical paleo-argillic brown earths,Clayic Profundic Chromic Luvisols,"Chromic Luvisols (Clayic, Profundic)",Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1950,5.81 TERLING (tE) (1950),,1 typical paleo-argillic brown earths,Ruptic Eutric Chromic Luvisols,"Chromic Luvisols (Eutric, Ruptic)",Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1915,5.71 TICKENHAM (Ta) (1915),,1 typical argillic brown earths,Eutric Chromic Luvisols,Chromic Luvisols (Eutric),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1239,5.81 MARLOW (mW) (1239),,1 typical paleo-argillic brown earths,Profundic Chromic Luvisols,Chromic Luvisols (Profundic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=173,5.81 BARROW (Bar) (173),,1 typical paleo-argillic brown earths,Profundic Chromic Luvisols,Chromic Luvisols (Profundic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=258,5.81 CARSTENS (CX) (258),,1 typical paleo-argillic brown earths,Profundic Chromic Luvisols,Chromic Luvisols (Profundic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1235,5.81 MAXTED (mT) (1235),,1 typical paleo-argillic brown earths,Ruptic Chromic Luvisols,Chromic Luvisols (Ruptic),Chromic Luvisols,
